Brand,Sherry,Model,Price,Year,Kilometer,Color,Province,District,Damage Information
Dacia,Sandero,1.5 dCi Stepway,747000,2016,89000.0,Kırmızı,Nevşehir,Merkez,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520i M Sport,3150000,2021,51500.0,Mavi,Hatay,Arsuz,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.5 Blue DCI Icon,1167000,2020,124000.0,Beyaz,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Fiat,Tipo,1.6 SLX,264500,1999,250000.0,Kırmızı,Ankara,Keçiören,Unpainted-Unchanging-Without Tramer
Hyundai,i20,1.4 MPI Elite,1020900,2021,54000.0,Bordo,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Audi,A1,1.6 TDI Attraction,720000,2011,234500.0,Kırmızı,Tekirdağ,Çorlu,Unpainted-Unchanging-Without Tramer
Honda,Civic,1.6 i-DTEC Elegance,1150000,2018,67000.0,Gri,İstanbul,Avcılar,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.5 T4 Urban,995750,2022,34000.0,Füme,İstanbul,Bağcılar,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.3 TCe Touch,1249950,2023,70000.0,Beyaz,İstanbul,Ataşehir,Unpainted-Unchanging-Without Tramer
Ford,Focus,1.6 Titanium,595000,2011,160000.0,Gri,Ankara,Çankaya,Unpainted-Unchanging-Without Tramer
Audi,A5,Coupe 1.8 TFSI,1320000,2011,132500.0,Beyaz,İstanbul,Üsküdar,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.5 TSi Elegance,2350000,2022,29500.0,Mavi,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 530i xDrive Luxury Line,3750000,2021,95000.0,Siyah,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.3 Multijet Easy,665000,2020,144000.0,Beyaz,Konya,Beyşehir,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.5 dCi Touch,795000,2017,235000.0,Siyah,Mardin,Nusaybin,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 316i Comfort,1075000,2012,90029.0,Siyah,İstanbul,Ataşehir,Unpainted-Unchanging-Without Tramer
Renault,Clio,1.5 dCi Joy,650000,2018,160000.0,Beyaz,İzmir,Bergama,Unpainted-Unchanging-Without Tramer
Nissan,Micra,1.2 Match,755000,2017,51000.0,Lacivert,İzmir,Tire,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,2.0 TDi BlueMotion Elegance,3200000,2020,40000.0,Beyaz,Van,Tuşba,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.5 Vision Plus,1389000,2024,6001.0,Beyaz,İstanbul,Başakşehir,Unpainted-Unchanging-Without Tramer
Dacia,Lodgy,1.5 dCi Allroad,535000,2014,252000.0,Beyaz,İstanbul,Beylikdüzü,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.5 dCi Dynamique,600000,2012,210000.0,Siyah,Ankara,Sincan,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,2.0 TDi Comfortline,595000,2007,315000.0,Siyah,Ankara,Sincan,Unpainted-Unchanging-Without Tramer
Peugeot,208,1.2 VTi Active,707000,2014,85000.0,Beyaz,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Nissan,Micra,1.4 Tekna,505999,2006,99000.0,Siyah,İstanbul,Ataşehir,Unpainted-Unchanging-Without Tramer
Nissan,Micra,1.2 Passion,469999,2005,125000.0,Kırmızı,İstanbul,Ataşehir,Unpainted-Unchanging-Without Tramer
Opel,Corsa,1.4 Twinport Enjoy,725000,2013,82000.0,Mavi,Ankara,Yenimahalle,Unpainted-Unchanging-Without Tramer
Opel,Astra,1.6 Comfort,490000,2005,320000.0,Beyaz,Şanlıurfa,Eyyübiye,Unpainted-Unchanging-Without Tramer
BMW,2,Serisi 216d Active Tourer Sport Line,1150000,2016,127000.0,Beyaz,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Porsche,Panamera,4S,4900000,2011,114000.0,Beyaz,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Citroen,C4,1.6 e-HDi Confort Plus,615000,2012,224000.0,Beyaz,İstanbul,Esenyurt,Unpainted-Unchanging-Without Tramer
BMW,2,Serisi 218i Active Tourer,1180000,2015,105000.0,Beyaz,Antalya,Muratpaşa,Unpainted-Unchanging-Without Tramer
Renault,Fluence,1.5 dCi Business,575000,2011,253000.0,Füme,Samsun,Çarşamba,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 316i M Sport,1650000,2014,85000.0,Kırmızı,Ankara,Keçiören,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Urban,799000,2022,47000.0,Beyaz,Adana,İmamoğlu,Unpainted-Unchanging-Without Tramer
Hyundai,Accent,Blue 1.6 CRDI Mode Plus,680000,2017,210000.0,Beyaz,Van,Tuşba,Unpainted-Unchanging-Without Tramer
Opel,Corsa,1.2 Turbo Edition,1030000,2023,26000.0,Beyaz,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Honda,Civic,1.6 i-DTEC Elegance,1248000,2018,79000.0,Kırmızı,Aydın,Nazilli,Unpainted-Unchanging-Without Tramer
Hyundai,i20,1.4 MPI Style,1025000,2022,8000.0,Kırmızı,Osmaniye,Merkez,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz C 200 AMG,3165000,2022,34000.0,Beyaz,İstanbul,Kadıköy,Unpainted-Unchanging-Without Tramer
Hyundai,Elantra,1.6 MPI Elite Plus,1145000,2019,11000.0,Beyaz,Osmaniye,Merkez,Unpainted-Unchanging-Without Tramer
Renault,R,21 1.7 GTS Manager,185000,1994,264000.0,Kırmızı,İzmir,Buca,Unpainted-Unchanging-Without Tramer
Tofaş,Doğan,SLX,215000,1994,100000.0,Turkuaz,Isparta,Şarkikaraağaç,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.3 TCe Icon,1465000,2023,7000.0,Gri,İstanbul,Bahçelievler,Unpainted-Unchanging-Without Tramer
Opel,Corsa,1.2 Turbo Edition,1015000,2023,26250.0,Beyaz,İstanbul,Pendik,Unpainted-Unchanging-Without Tramer
Citroen,C-Elysee,1.2 PureTech Live,637500,2019,85000.0,Gri,Tunceli,Merkez,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 316i Comfort,910000,2011,133000.0,Gri,Zonguldak,Ereğli,Unpainted-Unchanging-Without Tramer
Honda,Civic,1.6 i-VTEC ECO Elegance,875000,2014,223000.0,Beyaz,Adana,Sarıçam,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.4 TSi BlueMotion Comfortline,865000,2012,195000.0,Siyah,Gaziantep,Nizip,Unpainted-Unchanging-Without Tramer
Mazda,3,1.6 Impressive,818900,2012,94102.0,Beyaz,Muğla,Fethiye,Unpainted-Unchanging-Without Tramer
Renault,Symbol,1.5 dCi Joy,499000,2016,248500.0,Gri,Ankara,Polatlı,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.5 Dream,1195000,2021,63000.0,Beyaz,Kahramanmaraş,Onikişubat,Unpainted-Unchanging-Without Tramer
Ford,Fiesta,1.6 Titanium,845000,2015,127000.0,Beyaz,Kahramanmaraş,Onikişubat,Unpainted-Unchanging-Without Tramer
Ford,Taurus,3.0 V6 GL,575000,1997,245000.0,Yeşil,İstanbul,Maltepe,Unpainted-Unchanging-Without Tramer
Audi,A5,Cabrio 45 TFSI Quattro Advanced,3875000,2022,22567.0,Gri,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Volkswagen,Polo,1.4 Comfortline,585000,2006,110000.0,Gri,Osmaniye,Merkez,Unpainted-Unchanging-Without Tramer
Dacia,Lodgy,1.5 BlueDCI Stepway,855000,2020,183000.0,Beyaz,Kocaeli,Körfez,Unpainted-Unchanging-Without Tramer
Renault,Modus,1.4 Authentique,335000,2006,277000.0,Turkuaz,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Dacia,Sandero,1.0 Stepway,867500,2021,55000.0,Beyaz,Çanakkale,Biga,Unpainted-Unchanging-Without Tramer
Tofaş,Şahin,1.6,179000,1993,85000.0,Beyaz,İstanbul,Büyükçekmece,Unpainted-Unchanging-Without Tramer
Fiat,Linea,1.3 Multijet Pop,539250,2017,195000.0,Beyaz,Antalya,Muratpaşa,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz C 200 d BlueTEC Exclusive,1340000,2016,278350.0,Siyah,İstanbul,Kartal,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Business,1570000,2019,128000.0,Beyaz,Gaziantep,Nizip,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,Variant 1.5 TSI Business,1689000,2023,17000.0,Gri,Kocaeli,İzmit,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.3 Multijet Easy,674900,2020,137000.0,Beyaz,Aksaray,Merkez,Unpainted-Unchanging-Without Tramer
Renault,Clio,1.0 TCe Evolution,1070000,2024,18000.0,Gri,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Business,1449900,2020,200000.0,Gri,Adana,Seyhan,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,847000,2013,283000.0,Gri,Gaziantep,Şehitkamil,Unpainted-Unchanging-Without Tramer
Volkswagen,Golf,1.6 TDi BlueMotion Highline,925000,2016,175000.0,Siyah,Antalya,Kumluca,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.5 Dream,1235000,2021,50000.0,Beyaz,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Honda,Civic,1.6 i-VTEC ECO Elegance,1270000,2019,70000.0,Gri,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.8 Hybrid Passion X-Pack,1399900,2021,72000.0,Mavi,Ankara,Yenimahalle,Unpainted-Unchanging-Without Tramer
BMW,4,Serisi 420i Gran Coupe M Sport,4075000,2024,13069.0,Siyah,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Dacia,Sandero,0.9 TCe Stepway,738000,2019,61000.0,Kahverengi,Kocaeli,İzmit,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz CLA 180 D AMG,1750000,2017,187000.0,Beyaz,Muğla,Fethiye,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 320i ED 40th Year Edition,1230000,2015,163000.0,Siyah,Diyarbakır,Bağlar,Unpainted-Unchanging-Without Tramer
Volkswagen,Golf,1.0 eTSI Life,1500000,2022,30000.0,Kırmızı,Ankara,Kahramankazan,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Easy,650000,2019,90000.0,Gri,Kocaeli,Darıca,Unpainted-Unchanging-Without Tramer
Hyundai,i20,1.2 MPI Style,637000,2014,193000.0,Kahverengi,İzmir,Torbalı,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 320i,550000,1994,260000.0,Siyah,Kayseri,Kocasinan,Unpainted-Unchanging-Without Tramer
Opel,Astra,1.3 CDTI Edition Plus,680000,2015,184275.0,Kahverengi,Malatya,Yeşilyurt,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.4 TSi BlueMotion Trendline,1120000,2016,95000.0,Beyaz,Kütahya,Merkez,Unpainted-Unchanging-Without Tramer
Ford,Fiesta,1.5 TDCi Trend,659500,2013,78000.0,Beyaz,Ankara,Akyurt,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,999000,2015,260000.0,Mavi,Gaziantep,Şahinbey,Unpainted-Unchanging-Without Tramer
Seat,Exeo,1.6 Style,560000,2010,123456.0,Beyaz,Denizli,Pamukkale,Unpainted-Unchanging-Without Tramer
Skoda,Octavia,1.6 TDI Optimal,839000,2018,290000.0,Beyaz,Gaziantep,Şahinbey,Unpainted-Unchanging-Without Tramer
BMW,1,Serisi 116d M Plus,1250000,2015,96500.0,Lacivert,Adana,Seyhan,Unpainted-Unchanging-Without Tramer
Ford,Escort,1.6 CLX,210000,1998,250000.0,Kırmızı,Erzurum,Yakutiye,Unpainted-Unchanging-Without Tramer
Renault,Clio,1.5 dCi Icon,835000,2017,180000.0,Beyaz,Antalya,Muratpaşa,Unpainted-Unchanging-Without Tramer
BMW,2,Serisi 218i Gran Coupe First Edition Sport Line,1765900,2021,65000.0,Beyaz,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz C 200 D AMG,2185000,2021,145000.0,Füme,Diyarbakır,Bağlar,Unpainted-Unchanging-Without Tramer
Nissan,Micra,1.2 Street,768000,2017,50500.0,Kırmızı,Aydın,Nazilli,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz A 180 BlueEFFICIENCY AMG Sport,1215000,2014,69000.0,Kırmızı,Tekirdağ,Çorlu,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.5 Dream,1050000,2021,129000.0,Mavi,Tekirdağ,Çorlu,Unpainted-Unchanging-Without Tramer
Volkswagen,Polo,1.0 Trendline,635000,2015,99500.0,Beyaz,Samsun,İlkadım,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 320i ED M Plus,1595000,2015,122000.0,Mavi,Bolu,Merkez,Unpainted-Unchanging-Without Tramer
Hyundai,Accent,Era 1.4 Team,550000,2009,185000.0,Beyaz,Yozgat,Sorgun,Unpainted-Unchanging-Without Tramer
BMW,4,Serisi 418i Gran Coupe Sport Line,1725000,2018,84000.0,Beyaz,Gaziantep,Şahinbey,Unpainted-Unchanging-Without Tramer
BMW,3,Serisi 320i Premium,864850,2009,214000.0,Gri,Konya,Seydişehir,Unpainted-Unchanging-Without Tramer
Skoda,SuperB,1.5 TSI Premium,1429000,2020,109650.0,Mavi,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Hyundai,i20,1.4 MPI Jump,929999,2022,82000.0,Beyaz,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Volkswagen,Jetta,1.6 Midline,640000,2007,171000.0,Şampanya,Ankara,Mamak,Unpainted-Unchanging-Without Tramer
Peugeot,301,1.6 HDi Active,660000,2018,138000.0,Beyaz,Trabzon,Araklı,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Urban,795000,2021,14500.0,Beyaz,Konya,Ereğli,Unpainted-Unchanging-Without Tramer
Audi,A6,Sedan 40 TDI Quattro Advanced,4651000,2023,23265.0,Siyah,Kocaeli,İzmit,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.3 Multijet Lounge,1075000,2023,32000.0,Mavi,İstanbul,Çatalca,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.5 TSi Business,1695000,2022,54900.0,Gri,İstanbul,Sancaktepe,Unpainted-Unchanging-Without Tramer
Seat,Ibiza,1.0 Style,875500,2022,82000.0,Kırmızı,Antalya,Konyaaltı,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,950000,2013,241000.0,Siyah,Şanlıurfa,Haliliye,Unpainted-Unchanging-Without Tramer
Dacia,Sandero,1.0 Ambiance,589000,2020,128000.0,Lacivert,İstanbul,Sultanbeyli,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520i Luxury Line,3450000,2023,30000.0,Gri,Adana,Seyhan,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520i Luxury Line,2795000,2019,44702.0,Mavi,İstanbul,Ataşehir,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.3 Multijet Easy,874000,2023,38441.0,Gri,İstanbul,Kartal,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.5 Blue DCI Touch,1130000,2020,84000.0,Gri,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Renault,Taliant,1.0 Sce Joy,645000,2022,70792.0,Beyaz,Adana,Seyhan,Unpainted-Unchanging-Without Tramer
BMW,2,Serisi 216d Gran Coupe Sport Line,1995000,2022,25000.0,Beyaz,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Audi,A4,Avant 1.8 TFSI,1395000,2014,95222.0,Gri,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,2.0 TDi BlueMotion Highline,1995000,2019,63000.0,Siyah,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz E 220 D Exclusive,3099000,2018,199000.0,Siyah,Aydın,Didim,Unpainted-Unchanging-Without Tramer
Seat,Leon,1.2 TSI Style,1125000,2018,121000.0,Gri,Ankara,Mamak,Unpainted-Unchanging-Without Tramer
Peugeot,208,1.2 PureTech Allure Selection,1099000,2022,14850.0,Füme,Bursa,Nilüfer,Unpainted-Unchanging-Without Tramer
Volkswagen,Bora,1.6 Comfortline,415000,2003,254000.0,Gri,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Elegance,2295000,2020,88000.0,Gri,İstanbul,Pendik,Unpainted-Unchanging-Without Tramer
Fiat,Tempra,1.6 SX,210000,1996,107000.0,Mavi,Gaziantep,Şehitkamil,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz C 200 Edition 1 AMG,3095000,2021,56000.0,Lacivert,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Urban,725000,2021,98000.0,Beyaz,Adana,Seyhan,Unpainted-Unchanging-Without Tramer
Renault,Clio,0.9 TCe Joy,669900,2019,84000.0,Gri,Balıkesir,Altıeylül,Unpainted-Unchanging-Without Tramer
Dacia,Logan,1.2,505000,2015,236050.0,Beyaz,Ordu,Ünye,Unpainted-Unchanging-Without Tramer
BMW,2,Serisi 216d Gran Coupe Sport Line,1785000,2021,86000.0,Beyaz,İstanbul,Küçükçekmece,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz E 180 AMG,2649900,2017,155000.0,Beyaz,Muğla,Marmaris,Unpainted-Unchanging-Without Tramer
Hyundai,Accent,Era 1.5 CRDi-VGT Select,490000,2008,223000.0,Gri,Konya,Karapınar,Unpainted-Unchanging-Without Tramer
Skoda,Octavia,1.6 TDI Optimal,1190000,2019,98000.0,Beyaz,İstanbul,Üsküdar,Unpainted-Unchanging-Without Tramer
Kia,Cerato,1.6 CRDi Concept Plus,910000,2016,147777.0,Beyaz,Antalya,Muratpaşa,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520i Executive M Sport,1350000,2014,260000.0,Beyaz,Ağrı,Patnos,Unpainted-Unchanging-Without Tramer
Ford,Mondeo,1.6 TDCi Style,985000,2017,73000.0,Füme,İstanbul,Esenyurt,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Urban,1030000,2024,11000.0,Mavi,Sakarya,Karasu,Unpainted-Unchanging-Without Tramer
Honda,Civic,1.6 i-VTEC Elegance,798000,2011,128000.0,Siyah,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Opel,Astra,1.6 CDTI Sport,718000,2015,138000.0,Füme,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Peugeot,207,1.4 HDi Urban Move,578000,2012,132000.0,Füme,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.4 Authentique,488000,2008,120000.0,Gri,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Opel,Astra,1.6 Enjoy 111.Yıl,539000,2011,257000.0,Siyah,Adana,Sarıçam,Unpainted-Unchanging-Without Tramer
Chrysler,300,C 3.0 CRD,1075000,2007,310000.0,Gri,Kayseri,Kocasinan,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.5 Vision Plus,1285900,2024,8100.0,Mavi,Sakarya,Serdivan,Unpainted-Unchanging-Without Tramer
Mercedes,-,Benz CLS 300 D AMG,5195000,2022,54991.0,Gri,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
Citroen,C3,1.2 PureTech Feel,743000,2023,17000.0,Gri,Samsun,İlkadım,Unpainted-Unchanging-Without Tramer
Opel,Insignia,1.6 CDTI Design,949900,2016,139000.0,Beyaz,Ankara,Yenimahalle,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,2.0 TDi BlueMotion Highline,1375000,2016,208000.0,Beyaz,Kayseri,Kocasinan,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520d Standart,1425000,2013,223000.0,Beyaz,Hatay,Antakya,Unpainted-Unchanging-Without Tramer
Audi,A4,Sedan 2.0 TDI,1275000,2012,270000.0,Beyaz,Antalya,Kepez,Unpainted-Unchanging-Without Tramer
Hyundai,i20,1.4 MPI Jump,875900,2018,35400.0,Beyaz,Konya,Karatay,Unpainted-Unchanging-Without Tramer
Audi,A3,Sedan 35 TFSI S-Line,2125000,2021,31000.0,Füme,İstanbul,Küçükçekmece,Unpainted-Unchanging-Without Tramer
Renault,Clio,1.0 SCe Joy,730000,2022,22000.0,Beyaz,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Easy,720000,2022,22000.0,Beyaz,Kayseri,Melikgazi,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.4 TSi BlueMotion Trendline,1075000,2017,130000.0,Beyaz,Van,Tuşba,Unpainted-Unchanging-Without Tramer
Renault,Scenic,1.6 RXT,360000,2001,289000.0,Gri,Konya,Selçuklu,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Street,737500,2022,30000.0,Mavi,Ankara,Polatlı,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.5 dCi Touch Plus,895000,2019,215000.0,Beyaz,Diyarbakır,Silvan,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,1275000,2015,202000.0,Beyaz,Şanlıurfa,Haliliye,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520d M Sport,1475000,2012,330000.0,Füme,Sakarya,Adapazarı,Unpainted-Unchanging-Without Tramer
Honda,Civic,1.4 i S,580000,1999,246000.0,Gri,Sakarya,Adapazarı,Unpainted-Unchanging-Without Tramer
Volkswagen,Passat,1.6 TDi BlueMotion Comfortline,1685000,2018,85000.0,Beyaz,İstanbul,Pendik,Unpainted-Unchanging-Without Tramer
Renault,Megane,1.3 TCe Joy Comfort,1229500,2023,22650.0,Gri,İstanbul,Sancaktepe,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.4 Fire Easy,777500,2023,14000.0,Füme,Elazığ,Merkez,Unpainted-Unchanging-Without Tramer
Fiat,Linea,1.3 Multijet Active Plus,535000,2012,99000.0,Beyaz,Afyonkarahisar,Merkez,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520d M Sport,960000,2010,440000.0,Beyaz,Kayseri,Kocasinan,Unpainted-Unchanging-Without Tramer
MINI,Cooper,1.5 Iconic,1950000,2023,11000.0,Mavi,İstanbul,Sarıyer,Unpainted-Unchanging-Without Tramer
Toyota,Corolla,1.33 Life,735000,2015,129000.0,Beyaz,Adana,Seyhan,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.6 Multijet Easy,959900,2022,45000.0,Beyaz,Ankara,Akyurt,Unpainted-Unchanging-Without Tramer
Renault,Clio,1.0 TCe Joy,949900,2023,39000.0,Gri,Ankara,Akyurt,Unpainted-Unchanging-Without Tramer
Fiat,Egea,1.6 Multijet Easy,969900,2023,23000.0,Beyaz,Ankara,Akyurt,Unpainted-Unchanging-Without Tramer
Opel,Vectra,1.9 CDTI Elegance,420000,2007,322000.0,Siyah,İzmir,Buca,Unpainted-Unchanging-Without Tramer
Skoda,Fabia,1.0 GreenTec Ambition,655000,2015,59500.0,Kırmızı,İstanbul,Küçükçekmece,Unpainted-Unchanging-Without Tramer
Chevrolet,Aveo,1.4 LS,449900,2011,119000.0,Beyaz,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Mazda,3,1.5 SkyActive-G Motion,879900,2015,96000.0,Kırmızı,Bursa,Osmangazi,Unpainted-Unchanging-Without Tramer
Hyundai,i20,1.4 MPI Style,1019900,2023,26500.0,Beyaz,Kocaeli,Darıca,Unpainted-Unchanging-Without Tramer
Ford,Focus,1.5 TDCi Titanium,1320000,2020,97600.0,Gri,Hatay,Dörtyol,Unpainted-Unchanging-Without Tramer
Renault,Talisman,1.6 dCi Touch,1039000,2016,160000.0,Kahverengi,Konya,Selçuklu,Unpainted-Unchanging-Without Tramer
Fiat,Linea,1.3 Multijet Pop,548000,2016,275000.0,Beyaz,Giresun,Görele,Unpainted-Unchanging-Without Tramer
Skoda,Octavia,1.6 TDI Ambition,660000,2012,235000.0,Gri,Erzurum,Aziziye,Unpainted-Unchanging-Without Tramer
BMW,5,Serisi 520i 50th Year M Edition,3625000,2023,50750.0,Siyah,İzmir,Gaziemir,Unpainted-Unchanging-Without Tramer
